fecha      hora     lat    lon      dep    edep  gap  rms  ml   mc   mw  comentario
2017-02-01 20:05:32 18.271 -70.705  31.0    6.8  179  0.5  2.9  3.3  --- 13.0Km al Oeste de Palmar de Ocoa, Mar Caribe.
2017-02-02 07:03:29 18.336 -69.517  22.9  118.3  214  0.4  2.1  3.2  --- 11.4Km al SO de Guayacanes, Mar Caribe.
2017-02-02 15:48:15 19.060 -65.954  31.3  423.9  276  1.5  3.7  3.9  --- Distante.
2017-02-02 16:14:46 18.129 -68.204 130.7   14.9  175  0.6  2.9  3.6  --- 55.1Km al Este de Punta Cana, Canal de la Mona.
2017-02-03 03:18:07 19.423 -69.206  71.0   10.7  210  0.8  3.3  3.1  --- 15.4Km al Norte de Las Galeras, Oceano Atlantico.
2017-02-03 07:35:04 19.091 -69.397  22.7   12.4  112  0.4  1.7  2.8  --- 3.8Km al NNO de Sabana de la Mar, Bahia de Samana.
2017-02-03 07:57:59 18.510 -70.325  31.0    8.5  108  0.7  2.2  3.1  --- 3.6Km al OSO de Los Cacaos, San Cristobal.
2017-02-03 12:47:56 19.355 -68.855  23.0   19.2  298  0.6  1.6  3.2  --- 37.2Km al ENE de Las Galeras, Oceano Atlantico.
2017-02-07 04:15:25 19.298 -70.611  12.0   21.5  114  1.0  2.0  3.1  --- 12.2Km al NO de Concepcion de La Vega, La Vega.
2017-02-07 04:52:43 18.810 -70.379 113.9   16.1   96  0.8  2.4  2.9  --- 14.1Km al Este de Bonao, Monseñor Nouel.
2017-02-07 16:19:20 18.045 -67.949 107.6   21.2  187  0.7  2.8  3.3  --- 76.9Km al Este de Punta Cana, Canal de la Mona.
2017-02-08 00:41:19 18.923 -73.231  11.2  109.4  303  0.6  2.7  3.4  --- Distante.
2017-02-08 08:36:27 18.221 -67.482  19.7   25.5  168  0.9  2.3  3.2  --- 105.1Km al Este de Punta Cana, Canal de la Mona.
2017-02-09 17:04:43 17.961 -69.369  15.0    0.0  283  0.0  2.0  3.3  --- 52.1Km al Este de Guayacanes, Mar Caribe.
2017-02-09 19:56:07 20.173 -70.753  12.0   21.6  141  0.8  2.5  3.4  --- 38.1Km al NE de Luperon, Oceano Atlantico.
2017-02-09 23:35:25 19.875 -72.549   0.0  999.9  304  0.6  2.5  3.2  --- 94.5Km al Oeste de San Fernando de Montecristi, Oceano Atlantico.
